name,rating,category,address,phone,website,plus_code,latitude,longitude,review_count,postal_code,Location,Total,Men,Women
Cykelexperten.dk,4.1,Bicycle Shop,"Slotsherrensvej 103, 2720 Copenhagen, Denmark", +45 72 30 18 17,https://cykelexperten.dk/," MFXF+5W Copenhagen, Denmark",55.6979846,12.3305582,587.0,2720,"2720 Vanløse (København Municipality, Frederiksberg Municipality)",33170.0,16384.0,16786.0
Recycle Cycling Business,5.0,Bicycle Repair Shop,"Nordre Frihavnsgade 76, 2100 Copenhagen, Denmark", +45 50 11 11 00,," PH3P+58 Copenhagen, Denmark",55.7028982,12.4416485,13.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Cycling - Social Economic Bicycle Company,4.8,Bicycle Repair Shop,"Emblasgade 175, 2100 Copenhagen ã, Denmark",,http://www.cykelven.dk/," PH53+5G Copenhagen, Denmark",55.7028982,12.4416485,53.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Fævfælledparken bikes,4.2,Bicycle Repair Shop,"Blegdamsvej 80, 2100 Copenhagen, Denmark", +45 23 86 33 33,," MHWC+99 Copenhagen, Denmark",55.7028982,12.4416485,61.0,2100,2100 København Ø (København Municipality),91554.0,44085.0,47469.0
Velosmart - Mobile Bicycle Service (Mobile Bicycle Matter),5.0,Bicycle Repair Shop,"Helgolandsgade 2, 3 TV, 1653 Copenhagen, Denmark", +45 60 62 91 19,," MHF6+47 Copenhagen, Denmark",55.7028982,12.4416485,15.0,1653,1653 København V (København Municipality),247.0,127.0,120.0
Chart,4.9,Bicycle Repair Shop,"Enghavevej 10, 1674 Copenhagen, Denmark", +45 93 80 73 70,https://kaedesmeden.dk/," MGCW+58 Copenhagen, Denmark",55.7028982,12.4416485,87.0,1674,1674 København V (København Municipality),1251.0,589.0,662.0
Bicycle space,4.7,Bicycle Repair Shop,"Navnorrebrogade 161, 2200 Copenhagen, Denmark", +45 50 51 05 44,http://cykelplads.dk/," MGVX+X3 Copenhagen, Denmark",55.7028982,12.4416485,49.0,2200,"2200 København N (København Municipality, Frederiksberg Municipality)",77258.0,36843.0,40415.0
Clean bike,4.9,Bicycle Repair Shop,"Martha Christensens Vej 47, 2300 Copenhagen, Denmark", +45 71 74 95 59,https://www.rencykel.dk/book-tid-bella-kvarteret," JHQJ+9V Copenhagen, Denmark",55.6384098,12.4380306,95.0,2300,"2300 København S (København Municipality, Tårnby Municipality)",153680.0,75670.0,78010.0
Clean bike: pick up and bring,4.7,Bicycle Repair Shop,"Speditøvej 9, 2450 Copenhagen, Denmark", +45 71 74 95 59,https://www.rencykel.dk/afhent," JGPQ+WH Copenhagen, Denmark",55.6384098,12.4380306,35.0,2450,2450 København SV (København Municipality),39490.0,20034.0,19456.0
Bicycle Workshop,3.6,Bicycle Shop,"Navygade 18, 1165 Copenhagen, Denmark", +45 27 85 85 84,," MHJC+CG Copenhagen, Denmark",55.6384098,12.4380306,63.0,1165,1165 København K (København Municipality),262.0,141.0,121.0
