name,rating,category,address,phone,website,plus_code,latitude,longitude,review_count
Cykelexperten.dk,4.1,Bicycle Shop,"Slotsherrensvej 103, 2720 København, Denmark", +45 72 30 18 17,https://cykelexperten.dk/," MFXF+5W Copenhagen, Denmark",55.6979846,12.3305582,587.0
recycle cykelværksted,5.0,Bicycle repair shop,"Nordre Frihavnsgade 76, 2100 København, Denmark", +45 50 11 11 00,No Website," PH3P+58 Copenhagen, Denmark",55.7028982,12.4416485,13.0
Cykelven - Socialøkonomisk Cykelkompagni,4.8,Bicycle repair shop,"Emblasgade 175, 2100 København Ø, Denmark",No Phone,http://www.cykelven.dk/," PH53+5G Copenhagen, Denmark",55.7028982,12.4416485,53.0
Fælledparken cykler,4.2,Bicycle repair shop,"Blegdamsvej 80, 2100 København, Denmark", +45 23 86 33 33,No Website," MHWC+99 Copenhagen, Denmark",55.7028982,12.4416485,61.0
VeloSMART - mobil cykelservice (mobil cykelsmed),5.0,Bicycle repair shop,"Helgolandsgade 2, 3tv, 1653 København, Denmark", +45 60 62 91 19,No Website," MHF6+47 Copenhagen, Denmark",55.7028982,12.4416485,15.0
Kædesmeden,4.9,Bicycle repair shop,"Enghavevej 10, 1674 København, Denmark", +45 93 80 73 70,https://kaedesmeden.dk/," MGCW+58 Copenhagen, Denmark",55.7028982,12.4416485,87.0
CykelPlads,4.7,Bicycle repair shop,"Nørrebrogade 161, 2200 København, Denmark", +45 50 51 05 44,http://cykelplads.dk/," MGVX+X3 Copenhagen, Denmark",55.7028982,12.4416485,49.0
Ren Cykel,4.9,Bicycle repair shop,"Martha Christensens Vej 47, 2300 København, Denmark", +45 71 74 95 59,https://www.rencykel.dk/book-tid-bella-kvarteret," JHQJ+9V Copenhagen, Denmark",55.6384098,12.4380306,95.0
Ren Cykel: Hent & Bring,4.7,Bicycle repair shop,"Speditørvej 9, 2450 København, Denmark", +45 71 74 95 59,https://www.rencykel.dk/afhent," JGPQ+WH Copenhagen, Denmark",55.6384098,12.4380306,35.0
Cykel værkstedet,3.6,Bicycle Shop,"Nørregade 18, 1165 København, Denmark", +45 27 85 85 84,No Website," MHJC+CG Copenhagen, Denmark",55.6384098,12.4380306,63.0
Rencykel.dk,4.5,Bicycle repair shop,"Robert Jacobsens Vej 70, 2300 Amager Vest, Denmark", +45 71 74 95 59,https://www.rencykel.dk/book-tid-orestad-8-tallet," JH9C+3V Amager Vest, Copenhagen, Denmark",55.6384098,12.4380306,158.0
Cykelparkering,4.0,Bicycle rack,"Hedemannsgade, 2100 København, Denmark",No Phone,No Website," MHWF+9G Copenhagen, Denmark",55.6959383,12.4295805,2.0
Isak Cykelservice,4.8,Bicycle Shop,"Jagtvej 195, 2100 København, Denmark", +45 27 82 23 82,No Website," PH59+5X Copenhagen, Denmark",55.6959383,12.4295805,96.0
