name,rating,reviews,category,address,phone,website,plus_code,latitude,longitude
Kræss,"4.8
(44)",(44),Handicraft,"Blågårdsgade 17A, 2200 København, Denmark","
+45 53 76 31 38",https://kraess.dk/,"
MHP5+PG Copenhagen, Denmark",55.6828609,12.4775576
CPH Bike Shop,"4.4
(154)",(44),Bicycle Shop,"Holmbladsgade 38, 2300 København S, Denmark","
+45 32 96 34 28",https://www.cphbikeshop.dk/,"
MJ74+XF Copenhagen, Denmark",55.6828609,12.4775576
Copenhagen Bikeshop,"4.5
(46)",(44),Bicycle Shop,"Jagtvej 68, 2200 København, Denmark","
+45 81 74 16 96",http://www.copenhagenbikeshop.dk/,"
MHW2+99 Copenhagen, Denmark",55.6959924,12.4067819
Adam Cykler,"4.8
(45)",(44),Bicycle Shop,"Vesterbrogade 92, 1620 København, Denmark","
+45 61 66 63 98",http://www.vesterbrogade-shopping.dk/butik/adam-cykler-5047.html,"
MGCX+W9 Copenhagen, Denmark",55.6959924,12.4067819
Islands Brygge Cykler,"4.4
(82)",(44),Bicycle Shop,"Islands Brygge 15, 2300 København, Denmark","
+45 32 20 20 57",https://www.facebook.com/Islandsbryggecykler/,"
MH9H+37 Copenhagen, Denmark",55.6959924,12.4067819
Kgs Have Cykler,"4.9
(166)",(44),Bicycle Shop,"Sølvgade 26, 1307 København, Denmark","
+45 26 44 30 30",https://www.kgshavecykler.dk/,"
MHPJ+MQ Copenhagen, Denmark",55.6959924,12.4067819
Indian Bike Shop,"4.7
(41)",(44),Bicycle Shop,"Tagensvej 180, ST,TV, 2200 KØBENHAVN N, Denmark","
+45 27 21 48 06",https://www.proff.dk/firma/indian-bike-shop-vparamvir-singh/k%C3%B8benhavn-n/butikhandel/GXFUMZI10MC/,"
PG4V+8F Copenhagen, Denmark",55.6959924,12.4067819
Buddha Bikes,"4.7
(298)",(44),Bicycle Shop,"Emblasgade 175, 2100 København, Denmark",No Phone,http://www.buddhabikes.dk/,"
PH53+3H Copenhagen, Denmark",55.6959924,12.4067819
Cykel Chefen,"4.7
(151)",(44),Bicycle repair shop,"Nørre Søgade 41, 1370 København, Denmark","
+45 71 45 50 73",No Website,"
MHJ6+RJ Copenhagen, Denmark",55.6959924,12.4067819
VELOHOUSE - House of E-bikes,"4.8
(122)",(44),Electric bicycle store,"Gammel Køge Landevej 57, 2500 København, Denmark","
+45 41 37 21 00",https://velohouse.dk/,"
MG47+VF Copenhagen, Denmark",55.6959924,12.4067819
City Bike,"4.7
(27)",(44),Bicycle Shop,"Frederiksborggade 41, 1360 København, Denmark","
+45 28 46 68 71",No Website,"
MHP8+69 Copenhagen, Denmark",55.6959924,12.4067819
